id,code,name,enabled
1,swarm,蜂群,true
2,time,一天中的时间,true
3,radar,戳雷达,true
4,slot2,插槽 2 中的第 3 代游戏,true
5,radio,收音机,true
6,season,季节,true
7,starter,选择首发,true
8,tv-option,新闻报道中选定的对话,true
9,story-progress,故事进展,true
10,other,各种各样的,true
11,item,物品,true
12,weekday,工作日,true
13,first-party-pokemon,第一方生物,true
14,special-encounter,特别的邂逅,true
15,trade,将特定的 生物 交易给 NPC,true
16,coins,在奖品角或游戏角用金币兑换生物,true
17,friend-safari-slot,Friend Safari 老虎机分配,true
18,great-marsh-daily-slot,大沼泽每日老虎机,true
19,honey-tree-group,名称,true
20,headbutt-tree,头撞树型,true
21,backlot,听听 Backlot 先生的声音,true
22,bug-catching-contest,捉虫大赛,true
