id,code,name,description,enabled
1,specific-move,指定技能,一个指定技能。如何选择此技能取决于所使用的技能。,true
2,selected-pokemon-me-first,指定精灵,场上的另一只精灵，由训练师选择。被借用的技能会重复使用相同的目标。,true
3,ally,同伴,使用者的同伴（如果有）。,true
4,users-field,己方场地,使用者这边的场地。影响使用者及其同伴（如果有）。,true
5,user-or-ally,使用者或同伴,由训练师选择的使用者或其同伴。,true
6,opponents-field,对手场地,场上的对方。影响对手精灵。,true
7,user,使用者,使用者。,true
8,random-opponent,随机对手,随机选择一只对手精灵。,true
9,all-other-pokemon,除自身外所有精灵,场上的所有其他精灵。,true
10,selected-pokemon,指定精灵,场上的另一只精灵，由训练师选择。,true
11,all-opponents,所有对手,所有对手精灵。,true
12,entire-field,整个场地,整个场地。影响所有精灵。,true
13,user-and-allies,使用者与同伴,使用者及其同伴。,true
14,all-pokemon,所有精灵,场上的所有精灵。,true
15,all-allies,所有同伴,使用者的所有同伴。,true
16,fainting-pokemon,晕倒的精灵,,true
